"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Orm1",-0.412743847224096,28.7905040106921,-0.892706128677996,0.404695003012205,0.811354544873984,-4.60458159832444
"Rnf40",0.28082352453697,26.136184719454,0.887320259838836,0.407376765590626,0.812785527482747,-4.60495944367984
"rCG_21092",0.32777015410214,28.164271144652,0.877126737130771,0.41248860471438,0.819027854553073,-4.6056709598511
"Cfhr1",-0.452349916905,26.5348630952592,-0.862955035086581,0.419674190389177,0.829308328376699,-4.60665215396148
"Itga2b",-0.30839876416799,27.2964112521663,-0.855791423638007,0.423341276847911,0.832571177800892,-4.60714452089379
"Cfi",0.185864351854949,30.7026036996815,0.843626995392294,0.429621923760607,0.834511938710616,-4.60797492512803
"Kpnb1",0.289339034714406,24.0934243398783,0.841734616317017,0.43060504711748,0.834511938710616,-4.60810345756132
"Pygl",0.268569748744071,25.2213147675486,0.83184717054285,0.435768282845895,0.834511938710616,-4.60877213252018
"Psmb4",0.277793170215872,27.970155217361,0.831810177497985,0.435787684281433,0.834511938710616,-4.60877462513333
"C4bpa",-0.205649327394752,33.6707275510478,-0.823224222947618,0.440307542322288,0.834511938710616,-4.60935128051172
"C1qb",0.18085949904421,31.9459196627648,0.817239347263958,0.443477968886492,0.834511938710616,-4.60975101738093
"Masp2",0.202836405210618,30.755642458157,0.806552905809499,0.449179491996937,0.834511938710616,-4.61046016814324
"LOC680329.1",0.424936210396908,27.409615721416,0.802607596018503,0.45129753450047,0.834511938710616,-4.61072046707828
"Mbl2",0.196139726668907,29.7215670510135,0.797721262246232,0.453930553992843,0.834511938710616,-4.61104170941546
"Il1rap",-0.698720425557848,26.4324005993153,-0.79557361947794,0.455091243425226,0.834511938710616,-4.61118249957086
"F12",-0.171929873522298,29.9159856090118,-0.794218339200104,0.455824777543218,0.834511938710616,-4.6112712188301
"LOC100362150",0.690217667017308,27.2153856866955,0.793212855083846,0.456369524996486,0.834511938710616,-4.61133697607687
"Lifr",-0.224638766659659,32.5933874729639,-0.79108288444247,0.457525004629436,0.834511938710616,-4.61147609354532
"Prdx2",-0.346220001401999,24.7255368961466,-0.781619149933229,0.462683769677754,0.834511938710616,-4.61209123890115
"Ighv13.1",-0.539905926238056,28.9181877403142,-0.781402863971574,0.462802142269822,0.834511938710616,-4.61210524047781
"Itih1",-0.164953989164516,32.2165525388653,-0.776429831080777,0.465529693148268,0.834511938710616,-4.61242646767891
"X.62",-0.398625861434887,27.1405927506914,-0.771165915310195,0.468428939948061,0.834511938710616,-4.61276499508235
"Psma6",-0.236924962845421,28.630344574426,-0.76658273493253,0.470963421199438,0.834511938710616,-4.61305848669887
"Pf4",0.401426824927373,30.0428073024539,0.757038672596698,0.476271577027563,0.834511938710616,-4.61366586232274
"C3",0.172395346699744,38.5077169028147,0.752228512870537,0.478962362827847,0.834511938710616,-4.61397001412795
"A1m",-0.167840559612131,39.6856856877357,-0.749697961753438,0.480382107439304,0.834511938710616,-4.61412949108774
"C4bpb",-0.191101482823651,27.2217212054467,-0.748874293438768,0.480844838389112,0.834511938710616,-4.61418131964408
"Serpina11",0.233548797931604,25.1982625239304,0.736198332764412,0.488004356830081,0.834511938710616,-4.61497397476432
"Igh.1a",-0.192880778754827,35.035858885752,-0.735905667706917,0.488170504357948,0.834511938710616,-4.61499216478077
"X.44",0.240022147374365,30.1719283376334,0.735014800205916,0.488676489591944,0.834511938710616,-4.6150475038441
"X.93",0.907442686767073,29.8115575351428,0.730798175876252,0.491076198129679,0.834511938710616,-4.61530879711849
"X.10",0.261939055180274,27.2348865393034,0.72995827902224,0.491555134032055,0.834511938710616,-4.61536071760999
"Itih3",-0.14644916583179,33.6584976321674,-0.722693261885581,0.495710960962638,0.834511938710616,-4.61580807026592
"C9",-0.208715674295256,32.2388820853774,-0.720302717791124,0.497083551825628,0.834511938710616,-4.61595457992255
