"","P17410_B_10","P17410_B_25","P17410_B_28","P17410_B_29","P17410_B_8","P17410_B_9"
"Prl8a5",28.5766505290052,28.1609642224516,28.6176838595087,28.3434608360349,28.7564636835306,28.1716443380884
"Plek",NA,24.574096868738,25.8824568530101,NA,NA,NA
"Hrg",32.9766285518841,32.1456447917254,33.1034490253217,33.0875726176464,32.551032019075,32.8170361673837
"X.22",25.9377319234321,24.1146580299649,25.9900149535792,26.4741207007659,26.3882597451063,25.5418552264052
"Ghr",27.2536769898215,26.439838744892,27.0783663271034,28.0248540732021,26.596478011153,27.7443234791244
"X.23",25.9632063706505,NA,25.7572270142578,27.6356797098566,26.0072509386471,24.9052716748326
"X.24",31.4874997305671,32.6495662218514,31.3214687420972,31.9331878743738,33.7186548938758,31.5999217497971
"X.25",28.6878246466108,29.0316526633017,29.0215221514331,28.6883583727298,30.6226141228114,29.9955028750783
"F11",NA,NA,25.5254899835008,25.4576686891382,24.9512704837667,25.7448623678965
"X.26",32.4601936053946,32.9297887585569,32.7403316857746,32.1812746262939,31.6312277725613,31.6399196445839
"Gpx3",35.2492638150893,35.1595604789253,34.8996053057176,34.9868933765904,35.0486840361114,34.94414946356
"Ugp2",26.0563722851329,26.4196497019486,26.1312409141605,25.9422141560146,25.7510323906075,25.8248822363696
"X.27",30.6714335447617,29.7569090088692,30.7983838421859,30.2566491128785,29.2503824943574,30.4386694393528
"Pigr",27.0925492449045,27.2711513817199,27.3707761242655,27.1383875876142,27.3042595380837,27.6391347719565
"X.28",26.383389606113,25.7398248941233,26.9348334781417,23.9386743480976,25.5857462993462,25.1955419241276
"Myl6",NA,27.2981530679159,25.3068860837562,25.8970296540974,NA,25.1473248115843
"X.29",31.7290274552393,31.7106723089085,32.2655065650825,31.6770748351933,32.1067750258717,31.8490898339561
"X.30",28.1741234419047,NA,29.0091053336187,28.2294477805099,27.8496565968944,27.6899916817545
"X.31",30.6789223988022,30.7318213756966,30.2736432373233,30.2566491128785,30.505878259882,30.4597296181573
"Adipoq",27.8621876483485,27.1299644969179,NA,25.9410501145208,27.0116932238183,27.0937584606274
"RGD1310507",33.8077017693672,33.9344714657244,33.3918964706871,33.9063416372135,33.5511007968962,33.7539402292875
"Serpind1",30.1306273929772,29.6347108078451,30.8686480820814,30.4559143857867,30.1195391613084,30.2662887861842
"X.33",27.3839333757729,26.1356114437675,NA,NA,26.6764024068237,28.1189206425247
"Apoc3",29.8238077885303,28.3586299414277,29.0720916229872,29.9232321270095,30.2192809488736,31.2378581546602
"Vcl",26.6951129336181,29.100441221917,28.6803987480205,27.621217177613,28.1005414786954,27.1095859917152
"Serpina3n",31.4304177758559,32.5146983600191,32.7959868887032,32.3588290270672,32.8709457628065,32.1161340217703
"Cp",36.1859513531807,36.0353276357869,36.0794094629965,36.0105740974658,36.0707601623493,35.9858761106029
"X.34",26.346752584878,26.6187692639761,26.5890656697683,25.9314558543711,26.5467641371369,25.9735999813275
"X.35",29.9460075558266,30.6428913885355,30.0627824744104,30.5207515363635,29.2026346847754,28.7443876431058
"Fgl1",29.0890670933996,29.907989490095,28.8257497090839,30.1072428612203,29.9376140770507,29.8563068583133
"Masp1",29.6979152661247,29.0443989974036,27.5947708479037,29.4596319176161,29.7355543454406,28.8613299839179
"Orm1",29.0277038942337,28.7781559056245,29.0127590446712,29.1997128526167,29.1592567058466,27.5654356611598
"sap.Apcs",31.6058932697366,31.3590909400067,31.2351210249079,31.2231997522251,30.7590700644936,31.3688004703637
"C1qc",32.9104934864803,32.837011987279,32.5074150415623,32.5527046825988,33.1844852689874,32.5451278471124
"Hp",34.3918324689551,34.0277895655476,34.8088047656129,34.5903379172238,34.4921999436393,34.594181318575
"Pdia3",NA,25.2424539605095,24.7053539586881,NA,NA,NA
"Tuba1c",NA,25.7491406665299,NA,24.3031274319361,24.4349809139818,NA
"F10",30.4920924763189,31.5185021575553,30.7951353986477,30.9764407754286,30.7377153726447,30.7290679855041
"F12",29.8650821956191,30.1888385399598,29.8498206183041,29.9671924790549,29.7426220929662,29.8823577281666
"Prl3b1",24.9174332705667,24.5634295150335,25.4906626382334,25.1931369934371,24.9521152180942,24.7996132477964
"Prl4a1",29.7223243194425,29.1041960911463,29.4951080724964,29.1924410705973,29.7994187131691,30.0018237117492
"Cfb",32.521289929658,32.5154740214884,32.60939830254,32.4700000322742,32.7154671581467,32.4713089950504
"X.36",31.0117865145837,30.8610489139728,31.0948408563922,31.4985263878633,30.925922006183,30.6069081801132
"X.37",28.7219822343407,28.3899341671933,30.596726803765,29.8254312919317,30.096978089644,29.2687667428562
"C4bpb",27.037267596983,27.3363695332753,27.5452475487718,27.0701987585284,26.9268269427289,27.4144168523926
"Fth1",NA,NA,25.3501633327917,25.9619487931348,24.9573061307378,24.8091165208797
"LOC680329",30.7050374972294,30.7096456988595,30.1492839806748,30.2940603753702,30.6978490015827,29.9776011840784
